id,label,acta2,ap3b1,atp6v1f,c8orf33,cap2,chst4,creb3l2,ctnna1,dap3,dctn2,fam20b,gmfb,gnpat,hgs,hsph1,kpnb1,lage3,lsm2,nol7,parp1,parp12,plod3,plvap,polr2g,psmd4,ptcd1,ptprf,sae1,slc41a3,tfrc,thy1,vwf,znf207
GSM890329,case,12.64105627,9.526209997,11.31139009,9.452426263,7.852616264,7.454507529,9.729095883,11.04952203,9.63192649,10.13228655,8.772678273,8.576461585,8.014075901,10.36238293,8.301139443,9.558063246,8.579366299,10.93327543,9.29857883,10.78431741,9.726733298,10.12925034,9.169041559,10.76718637,6.923091686,8.662229571,9.345935095,10.65181557,8.511781359,10.32004283,11.53151702,11.14102948,9.826289209
GSM890396,case,12.34302445,9.50991708,10.37329863,7.998127892,9.387735891,7.938981875,8.979427225,10.69074261,9.665968709,10.00402101,8.122068059,9.881976162,9.21166962,8.580188949,8.620394907,9.781570393,8.925179211,10.11452849,9.843228294,9.971342297,8.809821457,8.914080782,7.606554709,10.57796865,6.802562403,8.055000574,9.975768856,11.48275996,8.684812449,10.64654542,9.65821832,9.921688444,9.230359146
GSM890516,case,12.78164768,9.11685498,10.23073957,9.245666901,9.40326451,6.542216133,9.15826924,9.999096152,10.00213604,9.536080798,9.68557587,9.5623496630000009,9.094114138,9.16367116,8.878684612,9.795540627,9.476475631,10.43704597,10.5343241,10.10277868,8.492276769,9.455913537,7.49821823,10.24821851,6.589346612,8.655186386,10.91655882,9.742800756,8.838945484,9.409927757,7.971875816,10.69074261,8.980903329
GSM890394,case,10.63702303,9.537470863,11.25629707,10.18464888,8.053731422,8.057046814,8.971741422,10.88874132,9.656033865,9.87657551,9.286431257,9.316748714,8.948161344,9.855201336,9.81472355,10.27189208,10.0649171,10.20768081,9.589192416,10.68117687,9.439849966,10.50101022,8.079629781,10.35389203,6.861738251,8.442022616,10.71358847,11.15905061,8.741639275,11.65292697,9.271314701,10.5343241,9.492020835
GSM890403,case,10.63837049,9.71345759,10.73425668,8.587638282,9.091431672,6.489634284,9.280337282,10.63439231,9.848415366,9.497074772,9.981236072,10.25043392,9.326197821,9.935655465,8.284915913,10.57677542,9.614077162,10.16251568,10.24140764,11.17644064,7.387900058,9.378380171,8.493034865,10.61783441,6.441869848,9.430634932,10.96031871,11.35618455,8.378092704,10.68640305,8.81221049,9.188627196,9.830535678
GSM890476,case,10.97903212,10.35289011,10.18772989,9.833845163,9.370549425,6.713107653,9.021264273,11.08708564,9.946491813,9.940855564,9.056347472,9.332393641,8.720854949,10.11937551,8.437017115,10.04446867,9.584914158,10.14917208,10.80019057,9.828042015,8.505063005,9.587030596,8.374508245,10.26675226,6.572915631,9.107409816,10.9666783,10.33839388,8.955991053,11.34987264,8.809331787,10.49860726,9.24072809
GSM890549,case,8.670770671,9.971342297,10.29802323,8.419952897,8.906674385,6.30381785,9.203571411,10.58669076,9.608594864,9.768059219,8.739034357,9.375204462,10.02389444,9.461188343,10.04838302,11.02944506,8.764987603,10.18555986,11.37133818,10.54438181,8.020909058,9.759813964,7.066718081,10.09109548,6.621951603,7.863238685,10.69074261,11.70727422,8.233145378,10.42288651,6.87946247,9.458519871,9.329903597
GSM890481,case,12.10157801,9.284079177,10.28306602,9.586386635,9.507026306,8.057368549,8.775063231,11.00174781,9.673084305,9.802917935,9.881976162,9.955617972,9.193371121,10.04645201,10.41811919,9.367954949,8.773117232,9.958286102,9.889002707,10.8088197,8.88463512,10.58431344,8.803031211,10.70237092,6.539940749,8.835140329,9.957428518,10.50620819,9.049249053,9.175535083,10.473169650000001,10.08362597,9.152550069
GSM890412,case,10.53938989,9.487549731,10.45266233,10.45972174,9.470212122,6.608465293,9.062873681,10.80735408,10.03326135,9.912742033,9.030886057,10.09405492,8.53821174,9.32297362,9.025484668,9.780745216,10.61654753,10.29058004,10.61251298,10.15014819,10.22865108,10.14536715,7.939239448,10.34962112,6.674282959,8.842804112,10.45852606,11.47631706,8.70382499,10.92137954,8.938543178,8.967117489,9.370549425
GSM890353,case,11.57493572,10.25043392,11.06863023,8.615030949,8.380707044,6.482578023,10.42611497,10.91352013,10.2436437,9.936500258,9.751956978,9.198811564,9.462489035,9.36990013,10.68368548,9.914442915,9.793146464,10.13523636,10.44916824,10.33952469,7.593865081,9.813894145,7.499447072,10.50860197,6.616220805,8.114284563,11.18194039,11.43746197,9.046560177,9.553741514,8.299030907,9.160734168,9.353092155
GSM890488,case,10.01588209,8.562188308,10.2179979,8.529546346,8.687513035,6.511824039,8.870332943,10.57916046,8.535930081,10.0417211,8.489592939,9.589974266,7.856775779,10.42055551,7.487041717,10.21691633,7.445602099,10.48859862,9.647590454,10.16547225,9.904750237,10.81330966,8.444714991,10.09109548,6.920661492,9.488287271,10.90258434,9.749455849,7.441270197,9.764821181,8.256967397,10.52939494,9.492020835
GSM890374,case,9.552358041,9.106287929,11.65057582,9.938169552,8.57443035,8.837976999,8.582708258,10.99514422,10.3339897,10.41811919,9.881976162,9.503273247,8.819342433,10.47655396,9.433908015,9.670649368,8.503020746,9.836425566,9.302302423,10.73732085,10.11748407,10.96503024,7.732901934,10.831121,7.41189041,10.48505213,10.62656201,10.21691633,9.455913537,11.01630942,8.806255409,10.2851922,9.9884189
GSM890416,case,11.8608137,9.825512282,10.76429703,9.468944623,9.236867769,9.18978483,9.929702277,10.21691633,10.25362586,9.970345062,9.382411715,9.215114367,9.425821713,8.995576944,10.32452063,9.87142615,10.95698762,10.2514909,10.19293631,10.39709071,8.256310402,10.10460734,7.51351383,10.69209142,6.689211071,8.420981966,10.12145684,11.88563896,8.639844857,9.5760814,8.698364906,7.948074862,9.455913537
GSM890348,case,10.36897307,10.15335687,10.56301466,9.827177251,10.36238293,6.628080004,8.888752046,11.2524592,10.18672538,9.933155977,9.872276648,10.20467131,9.609391984,9.807873017,8.934372198,9.561658097,9.678683113,10.79163821,9.466057671,11.08532643,9.484143397,10.63702303,7.765408403,10.48623362,6.215726118,9.090249155,9.268323467,10.37769002,9.265178196,10.25043392,9.367271953,9.677094474,9.696602707
